"R_Med_Tests","Units","Min","First_Q","Median","Mean","Third_Q","Max","Total_Data_Points","Num_Outlier","Outlier_Per"
"MACROPHAGES % (CSF)","%",1,11.25,21.5,26.375,36,74,8,0,0
"GAMMA %, URINE - UPEP","%",5.9,7.75,8.1,9.6125,9.8,18,8,1,0.125
"VITAMIN B1, WHOLE BLOOD","nmol/L",35,47,83.5,116.625,165.25,274,8,0,0
"ALPHA-1 %, URINE - UPEP","%",2,2.85,4.2,6.825,4.925,28.3,8,1,0.125
"APTT 11 MIX, 0 MINUTES","sec",30.5,36.5,37.85,37.8875,38.85,46.1,8,2,0.25
"IBC UNSATURATED","ug/dl",125,167,183.5,185.5,210.25,235,8,0,0
"SPECIFIC GRAVITY, URINE","",1.006,1.0145,1.015,1.015,1.01625,1.021,8,1,0.125
"GENTAMYCIN (TOX)","ug/mL",0.4,2.925,5.05,5.0625,6.5,11.3,8,0,0
"1 HOUR GLUCOSE","mg/dL",97,112.25,123,142,142.75,261,8,1,0.125
"ANTICARDIOLIPIN, IGM","PL Units",10,10.75,12,29.625,17.5,144,8,1,0.125
"TLC % PRED","%",92,98.25,102,104.875,109,128,8,0,0
"TOBRAMYCIN, PEAK","ug/mL",0.9,5.075,7.5,6.9375,9.8,12.1,8,0,0
"NORMETANEPHRINE/CREAT RATIO","umol/mol CRT",88,316.25,454,429.75,544.25,752,8,0,0
"APTT 11 MIX, 60 MIN.","sec",32.2,39.3,40.2,39.9571428571429,40.95,46.8,7,2,0.2857
"CMV IGM AB","IV",0.08,0.305,0.51,0.697142857142857,0.625,2.43,7,1,0.1429
"CD4 (T HELPER CELLS LYMPH QUANT)","/cu mm",175,200,274,248.571428571429,293,305,7,0,0
"NORMETANEPHRINE, PLASMA","nmol/L",0.58,0.935,1.43,1.66,1.7,4.34,7,1,0.1429
"PROTEIN (CONC) URINE","mg/dL",9,117,151.2,133.642857142857,156.6,228.1,7,2,0.2857
"FIF50% POST (% REF)","%",64,68.5,81,92.1428571428571,119,125,7,0,0
"FACTOR X, CHROMOGENIC","U/mL",0.17,0.25,0.39,0.43,0.49,0.97,7,1,0.1429
"PH, BODY FLUID","",7.29,7.46,7.56,7.59,7.73,7.9,7,0,0
"AB TO VCA IGM","U/mL",0.09,0.355,0.44,3.93142857142857,1.59,23.1,7,1,0.1429
"GASTRIN RELEASING POLYPEPTIDE","pg/mL",45,49.5,54,68.8571428571429,83.5,117,7,0,0
"CHLORIDE CONC, URINE","mmol/L",16,52.5,64,67,77.5,129,7,1,0.1429
"PROTEIN, URINE","mg/col.time",153,194.5,238,250.142857142857,291,389,7,0,0
"FASTING GLUCOSE","mg/dL",81,98,103,104,114.5,119,7,0,0
"FRC % PRED","%",55,83,97,99.8571428571429,116.5,148,7,0,0
"TLC MEASURED","L",4.44,4.875,5.13,5.30571428571429,5.19,7.44,7,1,0.1429
"OSMOLALITY GAP","mOsm/kgH20",-7,4.5,7,6.57142857142857,9.5,18,7,2,0.2857
"TOBRAMYCIN, TROUGH","ug/mL",0.8,1.2,1.8,1.88571428571429,2.7,2.8,7,0,0
"MAGNESIUM","mg/dL",1.5,1.75,1.8,1.81428571428571,1.9,2.1,7,1,0.1429
"TTG IGA","Units",0.7,1,4,5.24285714285714,8,14,7,0,0
"TESTOSTERONE (TOTAL)","ng/dL",31,134.5,302,257.714285714286,366,470,7,0,0
"ANTI-CYCL CITRUL PEPTIDE","Units",2,2,3,12.4285714285714,6.5,65,7,1,0.1429
"METANEPHRINE/CREATININE RATIO","ug/g Creat",34,57,131,142.714285714286,208,304,7,0,0
"VANCOMYCIN, PEAK","ug/mL",19,31.65,38.8,36.8857142857143,41.65,53.8,7,0,0
"LDL SIZE","nm",19.5,19.65,19.7,20.1,20.55,21.1,7,0,0
"MITOGEN-NIL","IU/mL",2.17,4.085,47.739,31.8402857142857,51.2675,62.268,7,0,0
"RV MEASURED","L",1.23,1.505,1.9,2.13428571428571,2.22,4.36,7,1,0.1429
"CHYLO TRIGLYCERIDES","mg/dL",5,26.5,66,344.714285714286,238.5,1812,7,1,0.1429
"RBC SYNOVIAL FLUID","/cu mm",38,2301,10358,48389,31862.5,260000,7,1,0.1429
"H. PYLORI IGG","EV",0.3,0.45,1.6,14.6857142857143,16.85,66.3,7,1,0.1429
"ANTICARDIOLIPIN, IGG","PL Units",5,9.5,13,36,60.75,100,6,0,0
"PROGESTERONE, SERUM","ng/mL",0.4,0.45,0.7,1.81666666666667,0.95,7.7,6,1,0.1667
"BREATHING RESERVE AT","%",0,0,0,0,0,0,6,0,0
"ANTI-THYROGLOBULIN ABS","IU/mL",1.1,1.7,1.8,3.43333333333333,2.875,11,6,1,0.1667
"THYROID PEROXIDASE AB, SERUM","IU/mL",0.3,0.475,0.95,7.7,1.2,42.4,6,1,0.1667
"C-PEPTIDE, SERUM","ng/mL",0.6,1.1,1.4,2.1,1.55,6.6,6,1,0.1667
"COLLECTION START TIME","",330,758.5,844,902,844,1820,6,2,0.3333
"UROBILINOGEN (U)","EHRLICH",2,2,2,2.33333333333333,2.75,3,6,0,0
"MYELOCYTES #","K/cu mm",0.02,0.085,0.19,0.205,0.3175,0.42,6,0,0
"ALBUMIN, URINE - UPEP","mg/dL",25.76,66.5775,124.1,187.455,290.425,457.5,6,0,0
"LDH (TOTAL)","Units/L",216,222.25,225,231,241.25,252,6,0,0
"H. PYLORI IGA","EIA Units",0.3,0.45,0.7,0.695,0.95,1.07,6,0,0
"SPECIFIC GRAVITY, RANDOM UR POC","",1.003,1.00775,1.0145,1.01266666666667,1.01675,1.021,6,0,0
"3-METHYLHISTIDINE PLASMA","umol/L",2,2.75,5.5,6.16666666666667,8.25,13,6,0,0
"ALDOSTERONE","ng/dL",1.8,3.3,3.7,7.46666666666667,8.75,22,6,1,0.1667
"HYDROCODONE UR, CONFIRM","ng/mL",55,755.75,1095,1281.66666666667,1612,3018,6,0,0
"BREATHING RESERVE BASE","%",0,0,0,0,0,0,6,0,0
"URINE CREATININE (TOTAL)","g/col time",0.8,1,1.05,1.13333333333333,1.25,1.6,6,0,0
"TOTAL TRIGLYCERIDES","mg/dL",26,142.25,202,804.5,459,3730,6,1,0.1667
"RETINYL PALMATATE","mg/L",0.02,0.02,0.02,0.0283333333333333,0.035,0.05,6,0,0
"LACOSAMIDE, SERUM","ug/mL",0.6,1.625,2.35,3.76666666666667,5.325,9.6,6,0,0
"RENIN","ngmLhr",0.1,0.225,8.15,40.7666666666667,85.75,119,6,0,0
"DVV CONFIRM","",0.78,1.125,1.25,1.33,1.375,2.2,6,1,0.1667
"NEUROTENSIN, PLASMA","pg/mL",32,100.75,123.5,119.833333333333,141.75,199,6,0,0
"IGE TOTAL, SERUM","kU/L",10,62.5,75,174.333333333333,317,430,6,0,0
"ALBUMIN %, URINE - UPEP","%",73.4,75.35,77.95,77.35,78.975,81,6,0,0
"TESTOST, FREE FEMALE/CHILD","pg/mL",0.5,0.6,0.75,1.81666666666667,2.775,4.9,6,0,0
"APTT, PATIENT, 60 MIN.","sec",39.4,43.8,52,51.44,57.5,64.5,5,0,0
"VLDL TRIGLYCERIDE - LIPID LAB","mg/dl",240,286,320,302.2,331,334,5,0,0
"RHEUMATOID FACTOR, QUANT","IU/mL",7,21,27,146,217,458,5,0,0
"TESTOST, TOTAL FEMALE/CHILD","ng/dL",10,14,17,16,18,21,5,0,0
"THEOPHYLLINE","ug/mL",6.7,6.7,7.9,8.3,9.4,10.8,5,0,0
"OPIATE CONC, URINE","ng/mL",244,733,2358,2729.8,4468,5846,5,0,0
"NOREPINEPHRINE, URINE","ug/d",16,35,37,58.4,52,152,5,1,0.2
"CMV QUANTITATIVE DNA","copies/ml",610,930,1900,10048,23400,23400,5,0,0
"EOSINOPHILS, URINE","%",1,2,4,6.4,5,20,5,1,0.2
"URINE FREE CORTISOL","ug/interval",16,19,34,38.4,55,68,5,0,0
"AMPHETAMINE CONC, URINE","ng/mL",136,143,175,236.2,324,403,5,0,0
"NORMAL POOL, 0 MINUTES","sec",27.4,29.2,29.9,29.52,30.5,30.6,5,0,0
"MACROPHAGES % (SYN FL)","%",0,0,3,27.2,60,73,5,0,0
"LYMPHOCYTES % (SYN FL","%",7,18,24,25.2,36,41,5,0,0
"N-TELOPEPTIDE, URINE","",26,28,43,40.8,50,57,5,0,0
"SUBSTANCE P, PLASMA","pg/mL",110,110,176,178.8,233,265,5,0,0
"ALDOLASE SERUM","U/L",3.9,4.7,5.4,8.18,8.1,18.8,5,1,0.2
"POC-IONIZED CALCIUM CALC","mmol/L",1.11,1.14,1.17,1.176,1.19,1.27,5,1,0.2
"CA 19-9LAB","",11.17,13.52,13.82,1028.246,71.72,5031,5,1,0.2
"ALPHA-2 %, URINE - UPEP","%",2,3.9,4,3.8,4.5,4.6,5,1,0.2
"SEX HORMONE BIND GLOBULIN","nmol/L",25,50,87,113.4,198,207,5,0,0
"PHENYLALANINE SIN QT PLASMA","umol/L",14,20,23,24,25,38,5,1,0.2
"ESTIMATED AVERAGE GLUCOSE","MG/DL",97,105,111,110.6,120,120,5,0,0
"LIPOPROTEIN A - LIPID LAB","mg/dL",19,37,167,125.6,176,229,5,0,0
"ALPHA AMINOADIPIC PLASMA","umol/L",6,10,12,13.8,20,21,5,0,0
"TOBRAMYCIN, RANDOM","ug/mL",0.7,0.7,2,1.82,2.2,3.5,5,0,0
"RBC CASTS","/lpf",0,0,0,0,0,0,5,0,0
"ALPHA-2, URINE - UPEP","mg/dL",1.41,5.23,18.9,14.448,20.16,26.54,5,0,0
"CHYLOMICRONS CHOLESTEROL","mg/dL",0,4,18,15.6,24,32,5,0,0
"NEUTRO %(SYN FL)","%",10,60,80,67.2,91,95,5,1,0.2
"METAMYELOCYTES %","%",0.4,0.9,0.9,1.48,1.7,3.5,5,1,0.2
"METANEPHRINES","ug/Col Time",61,104,113,184,236,406,5,0,0
"PHOSPHOETHANOLAMINE PLAS","umol/L",7,7,50,35.6,52,62,5,0,0
"MONOCYTE %(SYN FL)","%",1,2,2,3.4,2,10,5,2,0.4
"PROTEIN/CREATININE RATIO","",1.2,1.8,2.4,2.08,2.4,2.6,5,0,0
"DOPAMINE, URINE","ug/d",106,109,127,186.2,146,443,5,1,0.2
"NRBC","/100 WBC",1,1,3,3.8,6,8,5,0,0
"GAMMA TOCOPHEROL(VIT E)","mg/L",0.9,1.1,1.2,1.44,2,2,5,0,0
"HSV 1 IGG","IV",0.08,0.08,0.7,2.188,5.03,5.05,5,0,0
"PRODUCT UNIT #","",6862,6863.5,7761.5,Inf,Inf,Inf,4,0,0
"TRIGLYCERIDE BODY FLUID","mg/dL",29,35.75,132,184.25,280.5,444,4,0,0
"PANCREASTATIN, PLASMA","pg/mL",61,86.5,96,120.5,130,229,4,0,0
"LEUCINE SIN QT PLASMA","umol/L",19,29.5,39,43.75,53.25,78,4,0,0
"FASTING?","",0,9,12,9.5,12.5,14,4,0,0
"ETHANOL (ALCOHOL)","mg/dL",14,15.5,100.5,107,192,213,4,0,0
"HEMATOCRIT, BODY FLUID","%",0.2,6.05,8.85,9.475,12.275,20,4,0,0
"PROTEIN S ANTIGEN, FREE","U/mL",0.37,0.4075,0.605,0.685,0.8825,1.16,4,0,0
"ARGININE SIN QT PLASMA","umol/L",42,140.25,207,427.25,494,1253,4,0,0
"WBC CASTS","/lpf",0,0.75,2.5,5,6.75,15,4,0,0
"ATYPICAL CELLS % (SYN FL)","%",0,0,0,0,0,0,4,0,0
"CERULOPLASMIN","mg/dL",15,20.25,25,27.5,32.25,45,4,0,0
"LAMOTRIGINE (LAMICTAL)","ug/mL",2.3,2.825,6.2,6.35,9.725,10.7,4,0,0
"CA-125","Units/mL",50.8,72.25,230.3,236.525,394.575,434.7,4,0,0
"CA 15-3","ng/mL",10.7,12.8,55.2,60.525,102.925,121,4,0,0
"ALBUMIN, BODY FL","g/dL",1.5,1.725,2,2.15,2.425,3.1,4,0,0
"CARNOSINE PLASMA","umol/L",8,8.75,9.5,9.5,10.25,11,4,0,0
"EST GFR NOT AFR-AM","mL/min",36,46.5,52.5,49.25,55.25,56,4,0,0
"TIME - PTH","Hrs:mins",800,818.75,827.5,825.75,834.5,848,4,0,0
"EOSINOPHILS % (SYN FL)","%",0,0,0,0.25,0.25,1,4,0,0
"PROLINE SIN QT PLASMA","umol/L",77,83.75,90.5,93.25,100,115,4,0,0
"LYSINE SIN QT PLASMA","umol/L",61,85.75,97,94,105.25,121,4,0,0
"HYDROMORPHONE UR, CONFRIM","ng/mL",37,51.25,64.5,127.75,141,345,4,0,0
"DOPAMINE/CREATININE RATIO","ug/gCR",123,170.25,213.5,198.5,241.75,244,4,0,0
"NORMAL POOL, 60 MINUTES","sec",29.4,30,30.35,30.25,30.6,30.9,4,0,0
"RETINOL (VITAMIN A)","mg/L",0.33,0.36,0.38,0.455,0.475,0.73,4,0,0
"GLUTAMINE SIN QT PLASMA","umol/L",538,561.25,611.5,665.5,715.75,901,4,0,0
"BENZODIAZEPINE CONC, URINE","ng/mL",76,130.75,179.5,174,222.75,261,4,0,0
"ASP GALACT INDEX, SER","",0.04,0.055,0.105,0.11,0.16,0.19,4,0,0
"MDRD6","",14.1987,15.29805,16.14725,15.8433,16.6925,16.88,4,0,0
"THREONINE SIN QT PLASMA","umol/L",44,49.25,53.5,55.25,59.5,70,4,0,0
"BETA-2, SERUM","g/dL",0.38,0.395,0.405,0.405,0.415,0.43,4,0,0
"H. PYLORI IGM","Index",0.2,0.2,0.3,0.325,0.425,0.5,4,0,0
"REASON FOR REFERRAL","",174.3,174.75,174.9,174.75,174.9,174.9,4,0,0
"GLIADIN PEPTIDE AB, IGA","GIV",0.3,0.825,1.5,11.15,11.825,41.3,4,0,0
"CKMB, SERUM","ng/mL",1.9,1.975,3.8,4.45,6.275,8.3,4,0,0
"RETIC PLATELET %","%",0.4,1.0375,1.325,3.2875,3.575,10.1,4,0,0
"ORNITHINE SIN QT PLASMA","umol/L",23,28.25,72.5,86.75,131,179,4,0,0
"HSV 1/2 IGM AB","IV",0.74,0.7475,0.81,0.845,0.9075,1.02,4,0,0
"OTHER, SERUM","U/L",0,0.975,386.65,437.575,823.25,977,4,0,0
"IGG4 SUBCLASS","mg/dL",16,20.5,23,35.25,37.75,79,4,0,0
"BACTERIA (UR)","/hpf",897,897,897,3730.33333333333,5147,9397,3,0,0
"ALANINE SIN QT PLASMA","umol/L",167,183,199,188.666666666667,199.5,200,3,0,0
"VO2 (ML/KG/MIN) PEAK","mL/kg/min",20.8,20.9,21,22.1,22.75,24.5,3,0,0
"END TIDAL O2 (PEAK PETO2) - PEAK","mmHg",99,102.5,106,109,114,122,3,0,0
"AMIODARONE","ug/mL",0.4,0.4,0.4,0.466666666666667,0.5,0.6,3,0,0
"ANA TITER","",0.097222222,0.097222222,0.097222222,0.115740740666667,0.125,0.152777778,3,0,0
"TOXOPLASMOSIS IGG","IU/mL",0.5,1.25,2,7.83333333333333,11.5,21,3,0,0
"17 OH PREGNENOLONE","ng/dL",88,88.5,89,94.3333333333333,97.5,106,3,0,0
"PHOSPHOSERINE SIN QT CSF","umol/L",5,5.5,6,9.33333333333333,11.5,17,3,0,0
"CYTOMEGALOVIRUS (CMV) IGG, AB","U/mL",1,5,9,47,70,131,3,0,0
"PPD RESULT","mm",0,0,0,0,0,0,3,0,0
"VMA","mg/d",2.9,3,3.1,3.23333333333333,3.4,3.7,3,0,0
"SEX HORMONE BINDING GLOBULIN, SERU","nmol/L",22,22.5,23,23.6666666666667,24.5,26,3,0,0
"HIV QUANTITATIVE PCR","copies/mL",81,85.5,90,153.666666666667,190,290,3,0,0
"HISTIDINE SIN QT PLASMA","umol/L",68,74.5,81,77.3333333333333,82,83,3,0,0
"IGF-1, SERUM SENDOUT","ng/mL",124,141.5,159,176.666666666667,203,247,3,0,0
"ANTICARDIOLIPIN, IGA","PL Units",11,11.5,12,15.6666666666667,18,24,3,0,0
"OXYCODONE UR, CONFIRM","ng/mL",28,58,88,274.333333333333,397.5,707,3,0,0
"VD/VT (EST) BASE","mL",113,125,137,138.333333333333,151,165,3,0,0
"HEP C CONFIRM REFLEX PCR LOG IU","IU/mL",5.06,5.12,5.18,5.62,5.9,6.62,3,0,0
"PANCREATIC POLYPEPTIDE, PLASMA","pg/mL",56,64,72,76.3333333333333,86.5,101,3,0,0
"MITOGEN","IU/mL",0.66,1.522,2.384,2.868,3.972,5.56,3,0,0
"BASOPHILS % (SYN FL)","%",0,0,0,0,0,0,3,0,0
"HEART RATE RESERVE - REST","%",100,100,100,100,100,100,3,0,0
"METANEPHRINES, PLASMA","nmol/L",0.2,0.21,0.22,0.223333333333333,0.235,0.25,3,0,0
"FACTOR VIII ACTIVITY, PLASMA","U/mL",1.87,2.025,2.18,2.14333333333333,2.28,2.38,3,0,0
"MUMPS IGG ANTIBODY","AU/mL",12.8,39.05,65.3,65.0333333333333,91.15,117,3,0,0
"IGG2 SUBCLASS","mg/dL",214,247.5,281,261.666666666667,285.5,290,3,0,0
"% RECOVERY","",87,88,89,91,93,97,3,0,0
"WORK (WATTS) FOR BIKE - PEAK","Watts",112,121,130,177,209.5,289,3,0,0
"VO2 (L/M) % REF","%",73,74,75,79,82,89,3,0,0
"SYNOVIAL CELLS %","%",0,0,0,2.66666666666667,4,8,3,0,0
"NORMETANEPHRINES","ug/d",153,213.5,274,336.666666666667,428.5,583,3,0,0
"VO2 (L/M) PEAK","L/min",1.3,1.325,1.35,1.39333333333333,1.44,1.53,3,0,0
"O2 PULSE (ML/BEAT) - REST","mL/beat",2,2.5,3,3.66666666666667,4.5,6,3,0,0
"TUMOR MARKER AFP, CSF","ng/mL",8.4,9.2,10,15.1333333333333,18.5,27,3,0,0
"VE MAX (L/M) BTPS BASE","L/min",4.6,5.4,6.2,7.46666666666667,8.9,11.6,3,0,0
"TOTAL (ACYL + FREE) CARNITINE","umol/L",3.9,7.5,11.1,15.4333333333333,21.2,31.3,3,0,0
"LDH, CSF","U/L",11,13,15,46.6666666666667,64.5,114,3,0,0
"VO2 (L/M) BASE","L/min",0.12,0.17,0.22,0.253333333333333,0.32,0.42,3,0,0
"TRANSFERRIN","mg/dL",152,164,176,202,227,278,3,0,0
"GASTRIN, PLASMA","pg/mL",18,20.5,23,23,25.5,28,3,0,0
"METHIONINE SIN QT PLASMA","umol/L",20,22.5,25,25.6666666666667,28.5,32,3,0,0
"CORTISOL, 60 MINUTE","mcg/dL",13.9,19.2,24.5,26.4333333333333,32.7,40.9,3,0,0
"VMA (MG/GCR)","mg/g",3,3.5,4,4,4.5,5,3,0,0
"SPO2 PEAK","%",91,93.5,96,95.6666666666667,98,100,3,0,0
"HEART RATE (BPM) BASE","BPM",65,67.5,70,70.3333333333333,73,76,3,0,0
"RESPIRATORY RATE - REST","br/min",14,16,18,18.6666666666667,21,24,3,0,0
"TYROSINE SIN QT PLASMA","umol/L",18,24.5,31,36,45,59,3,0,0
"VCO2 (L/M) BASE","L/min",0.11,0.15,0.19,0.206666666666667,0.255,0.32,3,0,0
"CORTISOL, BASELINE","ug/dL",8.8,9.7,10.6,11.9333333333333,13.5,16.4,3,0,0
"GLUCOSE LOAD","g",50,50,50,58.3333333333333,62.5,75,3,0,0
"STRONGYLOIDES AB, IGG","IV",0.01,0.015,0.02,0.303333333333333,0.45,0.88,3,0,0
"END TIDAL CO2 (PEAK PETCO2) - REST","mmHg",36,36.5,37,38,39,41,3,0,0
"LAMBDA LIGHT CHAIN, SER","mg/dL",1.42,1.52,1.62,2.50333333333333,3.045,4.47,3,0,0
"CALCIUM, PTH W","mg/dL",9.5,9.65,9.8,10,10.25,10.7,3,0,0
"CKMB INDEX","%",2.6,3.75,4.9,4.5,5.45,6,3,0,0
"KAPPA/LAMBDA RATIO","",1.01,1.335,1.66,1.54333333333333,1.81,1.96,3,0,0
"VALINE SIN QT PLASMA","umol/L",68,83.5,99,99.6666666666667,115.5,132,3,0,0
"LEVETIRACETAM (KEPPRA)","ug/mL",27,29.5,32,33.6666666666667,37,42,3,0,0
"M-PROTEIN 1","g/dL",0.4,0.45,0.5,0.466666666666667,0.5,0.5,3,0,0
"VLDL-C RATIO - LIPID LAB","",0.12,0.12,0.12,0.133333333333333,0.14,0.16,3,0,0
"IGG3 SUBCLASS","mg/dL",35,37.5,40,49.3333333333333,56.5,73,3,0,0
"ALPHA TOCOPHEROL (VIT E)","mg/L",8.3,8.45,8.6,11.0333333333333,12.4,16.2,3,0,0
"APC RESISTANCE RATIO","",2.3,2.3,2.3,2.43333333333333,2.5,2.7,3,0,0
"CORTISOL, FREE","ug/dL",0.78,0.825,0.87,0.886666666666667,0.94,1.01,3,0,0
"HVA (MG/GCR)","mg/g",3,3,3,3.33333333333333,3.5,4,3,0,0
"MICROALBUMIN. CONC","MG/DL",102,103.6,105.2,124.366666666667,135.55,165.9,3,0,0
"BETA-1, SERUM","g/dL",0.49,0.51,0.53,0.53,0.55,0.57,3,0,0
"CEA - CARCINOEMBRYONIC AG, FLUID","ng/mL",2.1,5.25,8.4,7.9,10.8,13.2,3,0,0
"CITRULLINE SIN QT PLASMA","umol/L",1942,2162.5,2383,2365.66666666667,2577.5,2772,3,0,0
"D-DIMER, QUANTITATIVE","ng/mL",185,1559.5,2934,5869.66666666667,8712,14490,3,0,0
"VITAMIN B6, PLASMA","nmol/L",20.5,34.65,48.8,97.6666666666667,136.25,223.7,3,0,0
"BLOOD (UR)","",6,67,128,128,189,250,2,0,0
"GRANULOCYTE - PNH","%",0,0.0025,0.005,0.005,0.0075,0.01,2,0,0
"5-HIAA CONCENTRATION","mg/L",1.6,1.7,1.8,1.8,1.9,2,2,0,0
"EPINEPHRINE, URINE","ug/d",3,4,5,5,6,7,2,0,0
"PROMYELOCYTES %","%",0.8,0.825,0.85,0.85,0.875,0.9,2,0,0
"ANIMAL MIX IGE","Class",0,0,0,0,0,0,2,0,0
"HVA","mg/d",2.6,2.75,2.9,2.9,3.05,3.2,2,0,0
"VE MAX (L/M) BTPS % REF","%",57,57,57,57,57,57,2,0,0
"ACETAMINOPHEN","ug/mL",0.7,24.925,49.15,49.15,73.375,97.6,2,0,0
"MAGNESIUM CONC. URINE","mg/dL",7.9,10.35,12.8,12.8,15.25,17.7,2,0,0
"MISC REF TEST RESULT","",22,286.225,550.45,550.45,814.675,1078.9,2,0,0
"BASOPHIL%, MANUAL","%",1,1.25,1.5,1.5,1.75,2,2,0,0
"HYDROXYPROLINE PLASMA","umol/L",9,11.5,14,14,16.5,19,2,0,0
"APTT PATIENT","sec",31.4,33.45,35.5,35.5,37.55,39.6,2,0,0
"INVALID","",0,0.25,0.5,0.5,0.75,1,2,0,0
"VALID","",12,12,12,12,12,12,2,0,0
"VE MAX (L/M) BTPS PEAK","L/min",37.7,42.5,47.3,47.3,52.1,56.9,2,0,0
"CREATININE SERUM","mg/dL",0.9,0.975,1.05,1.05,1.125,1.2,2,0,0
"O2 PULSE (ML/BEAT) - AT","mL/beat",7,7.5,8,8,8.5,9,2,0,0
"GIANT PLT","",1,1.25,1.5,1.5,1.75,2,2,0,0
"DOPAMINE","pg/mL",23,37.25,51.5,51.5,65.75,80,2,0,0
"BREATHING RESERVE PEAK","%",0,0,0,0,0,0,2,0,0
"WBC SYNOVIAL FLUID","/cu mm",780,1253.75,1727.5,1727.5,2201.25,2675,2,0,0
"FOLATE, RBC, WHOLE BLOOD","ng/mL",429,461.75,494.5,494.5,527.25,560,2,0,0
"HSV 1/2 IGG AB","IV",0.11,0.24,0.37,0.37,0.5,0.63,2,0,0
"DOXEPIN + NORDOXEPIN, TOTAL","ng/mL",128,178.25,228.5,228.5,278.75,329,2,0,0
"MATERNAL AGE AT TERM","",23.2,26.75,30.3,30.3,33.85,37.4,2,0,0
"COLLAGEN/EPINEPHRINE","seconds",94,105.5,117,117,128.5,140,2,0,0
"TOTAL CELL COUNTED, CSF","",48,61,74,74,87,100,2,0,0
"NORDOXEPIN","ng/mL",34,51.5,69,69,86.5,104,2,0,0
"CANNABINOID CONC, URINE","ng/mL",20,30.5,41,41,51.5,62,2,0,0
"TOTAL RESULTS PER, URINE","hr",24,24.75,25.5,25.5,26.25,27,2,0,0
"CHOL/HDL RATIO","",2,2.325,2.65,2.65,2.975,3.3,2,0,0
"DOXEPIN","ng/mL",94,126.75,159.5,159.5,192.25,225,2,0,0
"PARATHYROID HORMONE, BIO-INTACT","pg/mL",22,33.5,45,45,56.5,68,2,0,0
"OXYMORPHONE UR, CONFIRM","ng/mL",294,1146.25,1998.5,1998.5,2850.75,3703,2,0,0
"MYOGLOBIN, URINE","mg/L",1,1.75,2.5,2.5,3.25,4,2,0,0
"SERINE SIN QT PLASMA","umol/L",66,68.75,71.5,71.5,74.25,77,2,0,0
"END TIDAL O2 (PEAK PETO2) - AT","mmHg",101,103.25,105.5,105.5,107.75,110,2,0,0
"CALCIUM IONIZED LEVEL SERUM","mmol/L",1.31,1.315,1.32,1.32,1.325,1.33,2,0,0
"PCO2 VENOUS, POC","mmHg",42,42.25,42.5,42.5,42.75,43,2,0,0
"HEMOGLOBIN A","%",97.5,97.675,97.85,97.85,98.025,98.2,2,0,0
"TSH RECEPTOR ANTIBODY","%",8,11.5,15,15,18.5,22,2,0,0
"IGG1 SUBCLASS","mg/dL",479,513.5,548,548,582.5,617,2,0,0
"CYSTINE SIN QT PLASMA","umol/L",23,29.5,36,36,42.5,49,2,0,0
"GLYCINE SIN QT PLASMA","umol/L",165,165,165,165,165,165,2,0,0
"PANCREATIC ELASTASE","ug E/g stool",66.2,84.65,103.1,103.1,121.55,140,2,0,0
"ISOLEUCINE SIN QT PLASMA","umol/L",3,7,11,11,15,19,2,0,0
"EPINEPHRINE/CREATININE RATIO","ug/gCR",2,2,2,2,2,2,2,0,0
"CEA-CARCINOEMBRYON AG, BODY FL","ng/mL",134.2,563.4,992.6,992.6,1421.8,1851,2,0,0
"NOREPINEPHRINE","pg/mL",303,423.25,543.5,543.5,663.75,784,2,0,0
"SPEC GRAV, BODY FLUID","",1.011,1.01525,1.0195,1.0195,1.02375,1.028,2,0,0
"ASP GALACT INDEX","",0.14,0.2,0.26,0.26,0.32,0.38,2,0,0
"RESPIRATORY QUOTIENT (RQ) PEAK","",1.13,1.1325,1.135,1.135,1.1375,1.14,2,0,0
"HUMAN HERPES VIRUS-6 IGG AB","IV",0.78,0.8425,0.905,0.905,0.9675,1.03,2,0,0
"CA19-9","Units/mL",17.8,24.3,30.8,30.8,37.3,43.8,2,0,0
"MEASLES IGM AB, SERUM","AU",0.2,0.26,0.32,0.32,0.38,0.44,2,0,0
"ACYL/FREE RATIO","",0.41,0.4425,0.475,0.475,0.5075,0.54,2,0,0
"ASPARAGINE SIN QT PLASMA","umol/L",32,34.5,37,37,39.5,42,2,0,0
"GROWTH HORMONE","ng/mL",0.5,0.6,0.7,0.7,0.8,0.9,2,0,0
"IODINE CONCENTRATION","mcg/L",20,112.25,204.5,204.5,296.75,389,2,0,0
"GLOBULIN LEVEL","gm/dL",2.3,2.7,3.1,3.1,3.5,3.9,2,0,0
"REST SAT","%",94,95,96,96,97,98,2,0,0
"TYPE II RBC","%",0,0.0025,0.005,0.005,0.0075,0.01,2,0,0
"BASE EXCESS VEN, POC","",-3.7,-3.075,-2.45,-2.45,-1.825,-1.2,2,0,0
"END TIDAL CO2 (PEAK PETCO2) - PEAK","mmHg",46,46,46,46,46,46,2,0,0
"RETIC PLATELET ABSOLUTE NO.","K/cu mm",2.6,3.225,3.85,3.85,4.475,5.1,2,0,0
"NOREPINEPHRINE, UR-PER VOL","ug/L",103,103.25,103.5,103.5,103.75,104,2,0,0
"GFR BLOOD CLEARANCE POST IMAGE","",28,31.5,35,35,38.5,42,2,0,0
"G-AMINOBUTYRIC ACID PLAS","umol/L",5,5.5,6,6,6.5,7,2,0,0
